Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
129,REIT - Residential,-3.7283333333333335,-0.005555555555555536,0.34444444444444444,0.4516666666666667,0.48777777777777775,0.46222222222222226,0.3766666666666667,10,7,8,19,70,"MRP,ELME,SUI,ELS,CSR,VRE,ESS,AIV,EQR,AMH,CPT,AVB,IRT,MAA,UDR,INVH,NXRT,UMH"
130,Broadcasting,-4.4175,-0.9924999999999997,0.3,0.4275,0.4425,0.625,0.34500000000000003,9,8,15,4,21,"TGNA,NXST,SBGI,NMAX"
131,REIT - Hotel & Motel,-4.97375,-6.21875,0.1725,0.3225,0.56875,0.70375,0.3525,8,13,26,20,6,"HST,XHR,DRH,SHO,PK,PEB,APLE,RHP"
132,Home Improvement Retail,-5.5275,-4.6525,0.1,0.125,0.5625,0.6575,0.395,8,8,44,10,18,"HD,LOW,HVT,FND"
133,Oil & Gas E&P,-6.015,-6.465,0.43523809523809526,0.5571428571428572,0.4959523809523809,0.47833333333333333,0.32142857142857145,7,10,5,18,11,"APA,EQT,CRC,SD,RRC,EXE,MUR,REPX,TALO,CNQ,BKV,GPOR,CRK,VTS,CNX,DVN,MGY,KRP,BSM,WDS,VET,OVV,OXY,FANG,PR,COP,AR,CTRA,EOG,CIVI,MNR,TXO,CHRD,DMLP,MTDR,CRGY,TPL,VIST,VTLE,SM,NOG,INR"
134,Beverages - Brewers,-6.701666666666668,1.716666666666665,0.5183333333333333,0.525,0.33499999999999996,0.465,0.5216666666666666,6,4,2,5,80,"FMX,BUD,SAM,CCU,TAP,STZ"
135,Restaurants,-7.3578125,-2.4312500000000004,0.395,0.451875,0.40064516129032257,0.510625,0.3775,6,6,12,54,58,"PBPB,BH,VENU,NATH,DIN,PZZA,CAKE,QSR,YUM,MCD,DRI,BROS,EAT,CNNE,YUMC,TXRH,DPZ,FWRG,HDL,SBUX,BJRI,WING,BRCB,KRUS,CBRL,SHAK,CMG,WEN,JACK,CAVA,CHA,SG"
136,Business Equipment & Supplies,-8.64,-3.830000000000001,0.26,0.52,0.36,0.44,0.45,5,6,4,6,61,EBF
137,Packaged Foods,-9.442727272727273,-1.837878787878788,0.38666666666666666,0.4493939393939394,0.38484848484848483,0.5324242424242425,0.473030303030303,4,5,7,11,54,"SENEA,MAMA,LW,HLF,OTLY,LWAY,K,SFD,POST,SJM,MZTI,JBS,PPC,INGR,MKC,GIS,KHC,UTZ,DAR,CPB,JBSS,CENTA,CAG,CENT,HRL,THS,FLO,JJSF,NOMD,SMPL,USNA,FRPT,BRBR"
138,Insurance Brokers,-11.995714285714286,-2.082857142857142,0.47500000000000003,0.5315384615384615,0.295,0.3685714285714286,0.39785714285714285,4,4,4,13,89,"WTW,NP,AON,CRD-A,AJG,MMC,CRD-B,BRO,TWFG,ERIE,GSHD,CRVL,BWIN,ARX"
139,Staffing & Employment Services,-12.591111111111111,0.5944444444444432,0.3444444444444444,0.4066666666666667,0.37444444444444447,0.5966666666666667,0.3622222222222222,3,1,3,1,25,"HSII,BBSI,KFY,KELYA,TNET,MAN,NSP,RHI,KFRC"
140,Trucking,-14.172307692307694,-1.1169230769230793,0.4369230769230769,0.3853846153846154,0.34923076923076923,0.6069230769230769,0.37,2,2,1,6,4,"XPO,KNX,RXO,SNDR,CVLG,WERN,ARCB,TFII,SAIA,HTLD,ODFL,MRTN,ULH"
141,Lumber & Wood Production,-14.875,-2.035,0.29000000000000004,0.215,0.395,0.5575,0.4125,1,3,6,2,18,"SSD,WFG,UFPI,BCC"
142,Textile Manufacturing,-22.44,0.639999999999997,0.39,0.36,0.18,0.47,0.35,1,1,1,8,12,AIN
143,Paper & Paper Products,-26.05,-6.257500000000004,0.3025,0.525,0.3275,0.5449999999999999,0.3825,1,1,1,1,16,"SUZ,SLVM,CLW,MAGN"
